Fecha,Temperatura_°C
2022-12-18,19.831
2022-12-19,20.008
2022-12-20,20.577
2022-12-21,21.794
2022-12-22,19.792
2022-12-23,19.381
2022-12-24,20.187
2022-12-25,18.744
2022-12-26,15.89
2022-12-27,16.778
2022-12-28,20.279
2022-12-29,21.913
2022-12-30,19.445
2022-12-31,15.104
2023-01-01,17.621
2023-01-02,18.767
2023-01-03,19.233
2023-01-04,21.61
2023-01-05,20.602
2023-01-06,20.069
2023-01-07,20.117
2023-01-08,20.154
2023-01-09,18.96
2023-01-10,18.652
2023-01-11,20.327
2023-01-12,19.383
2023-01-13,18.99
2023-01-14,19.415
2023-01-15,20.338
2023-01-16,19.685
2023-01-17,19.414
2023-01-18,21.776
2023-01-19,20.6
2023-01-20,19.844
2023-01-21,20.661
2023-01-22,20.49
2023-01-23,19.891
2023-01-24,25.339
2023-01-25,21.556
2023-01-26,20.924
2023-01-27,21.379
2023-01-28,21.489
2023-01-29,22.11
2023-01-30,21.791
2023-01-31,21.613
2023-02-01,21.933
2023-02-02,22.016
2023-02-03,24.572
2023-02-04,23.217
2023-02-05,21.69
2023-02-06,22.407
2023-02-07,22.317
2023-02-08,22.479
2023-02-09,22.948
2023-02-10,21.815
2023-02-11,21.515
2023-02-12,20.775
2023-02-13,20.275
2023-02-14,21.52
2023-02-15,21.083
2023-02-16,19.54
2023-02-17,20.227
2023-02-18,19.602
2023-02-19,20.41
2023-02-20,22.731
2023-02-21,22.546
2023-02-22,20.863
2023-02-23,21.81
2023-02-24,20.215
2023-02-25,18.671
2023-02-26,20.877
2023-02-27,22.694
2023-02-28,21.34
2023-03-01,20.688
2023-03-02,21.128
2023-03-03,20.631
2023-03-04,21.74
2023-03-05,21.171
2023-03-06,21.244
2023-03-07,21.704
2023-03-08,19.831
2023-03-09,20.577
2023-03-10,19.558
2023-03-11,20.592
2023-03-12,20.092
2023-03-13,20.171
2023-03-14,19.83
2023-03-15,20.112
2023-03-16,19.389
2023-03-17,20.16
2023-03-18,20.229
2023-03-19,20.154
2023-03-20,19.285
2023-03-21,20.092
2023-03-22,21.444
2023-03-23,21.0
2023-03-24,21.517
2023-03-25,19.926
2023-03-26,18.588
2023-03-27,19.85
2023-03-28,18.937
2023-03-29,19.508
2023-03-30,22.098
2023-03-31,21.463
2023-04-01,18.913
2023-04-02,19.09
2023-04-03,16.563
2023-04-04,18.652
2023-04-05,18.067
2023-04-06,18.448
2023-04-07,20.483
2023-04-08,17.733
2023-04-09,16.181
