2018-01-05,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,20.521,,,,,,,,,,,,,,,,,,1.6669999999999998,,0.0,0.34199999999999964,,,6.040999999999997,0.0,,,
2018-01-06,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.2829999999999977,,,,,,,,,,,,,,,,,,0.0,,0.17400000000000038,0.27500000000000036,,,2.1670000000000016,0.0,,,
2018-01-07,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.125,,0.3259999999999996,1.5169999999999995,,,6.707999999999998,0.0,,,
2018-01-08,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.875,,0.10000000000000053,1.3580000000000005,,,5.5,0.0,,,
2018-01-09,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.04999999999999982,0.03799999999999981,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.6500000000000004,,,0.7920000000000016,0.0,,,
2018-01-10,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.11999999999999922,,0.15000000000000036,0.16200000000000037,,,,,0.0,,,,,,0.0,0.0,0.0,3.6209999999999996,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,
2018-01-11,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,6.579000000000001,0.0,,0.0,,,,,,,,,,,,,,,,,,0.04200000000000159,,0.0,0.007999999999999119,,,0.2920000000000016,,,,
2018-01-12,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.415999999999997,,0.39999999999999947,0.5840000000000014,,,5.290999999999997,,,,
2018-01-13,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.5420000000000016,,0.0,0.007999999999999119,,,2.4170000000000016,,,,
2018-01-14,,,,,,0.0,,,,0.08799999999999997,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.029,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,
2018-01-15,,,,,,0.0,,,,0.487,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.07100000000000001,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,,
2018-01-16,,,,,,0.0,,,,0.2789999999999999,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,0.0,0.23300000000000054,,,3.5,,,,
2018-01-17,,,,,,0.0,,,,0.14600000000000013,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,0.10800000000000054,0.5670000000000002,,,7.167000000000002,,,,
2018-01-18,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.09199999999999964,0.0,,,1.3329999999999984,,,,
2018-01-19,,,,,,0.0,,,,0.7209999999999999,0.0,,0.30799999999999983,0.0,,0.0,,,0.0,,0.0,0.0040000000000000036,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-20,,,,,,0.0,,,,2.8790000000000004,0.2609999999999999,,1.6170000000000009,0.0,,0.0,,,0.20000000000000018,,0.0,0.22499999999999964,,,,,0.0,,,,,,0.0,0.0,0.0,0.6130000000000013,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-21,,,,,,0.0,,,,0.0,0.7390000000000001,,0.07499999999999929,0.0,,0.0,,,0.0,,0.0,1.2710000000000004,,,,,0.08300000000000018,,,,,,0.0,0.0,0.0,1.7249999999999979,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-22,,,,,,0.0,,,,0.0,0.0,,0.13700000000000045,0.0,,0.0,,,0.0,,0.0,0.08299999999999974,,,,,0.21700000000000053,,,,,,0.0,0.0,0.0,0.7620000000000005,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-23,,,,,,0.0,,,,0.0,0.0,,0.06299999999999883,0.0,,0.0,,,0.0,,0.0,0.016999999999999904,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-24,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-25,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-26,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-27,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-28,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-01-29,,,,,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.08299999999999841,,,,
2018-01-30,,,,0.051000000000000004,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.6670000000000016,0.0,7.507999999999999,2.0249999999999986,,,11.584000000000003,,,,
2018-01-31,,,,0.114,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.3329999999999984,0.0,0.6920000000000002,0.1750000000000007,,,2.3329999999999984,,,,
2018-02-01,,,,0.092,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-02,,,,0.07800000000000001,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-03,,,,0.12,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-04,,,,0.19,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-05,,,,0.20199999999999996,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.024999999999999467,0.0,,,,,0.01699999999999946,,,,,,0.0,0.0,0.0,0.007999999999999119,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-06,,,,2.065,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.1750000000000007,0.0,,,,,0.18299999999999983,,,,,,0.0,0.0,0.0,0.19200000000000017,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
2018-02-07,,,,1.9650000000000003,,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,
